16,http://vk.com,https://www.facebook.com/dialog/oauth?client_id=128749580520227&redirect_uri=https%3A%2F%2Fvk.com%2Fjoin%3Fact%3Dfb_sign&scope=email%2Cuser_birthday&display=popup&state=b9a3035ae737c326dd,3,public profile, birthday, email address,,,,,,public profile,939,,,,
32,https://yandex.ru/signup,NotFound,NotFound,,,,,,,,,name,142,,,,
41,https://imgur.com/signin?invokedBy=regularSignIn,https://www.facebook.com/v2.8/dialog/oauth?client_id=127621437303857&state=19d95e1c04d05436e3fbbfa458d9681e&response_type=code&sdk=php-sdk-5.6.3&redirect_uri=https%3A%2F%2Fimgur.com%2Fsignin%2Ffacebook&scope=email,2,public profile, email address,,,,,,,link to timeline,2,,,,
48,https://login.aliexpress.com/express/mulSiteLogin.htm?return=https%3A%2F%2Fwww.aliexpress.com%2F,https://www.facebook.com/dialog/oauth?client_id=166363243399924&display=popup&redirect_uri=https%3A%2F%2Fthirdparty.aliexpress.com%2Ffbcallback.htm&scope=email%2Cuser_birthday%2Cuser_hometown%2Cuser_location%2Cpublish_actions&state=425893215133209560,2,public profile, email address,,,,,,,birthday,200,,,,
52,https://it.mail.ru/en/users/login/,https://www.facebook.com/v2.9/dialog/oauth?state=J4mjg09BnJgm9i7gZ4NykOAIcLFNdio9&redirect_uri=https%3A%2F%2Fit.mail.ru%2Fsocial%2Fcomplete%2Ffacebook%2F&t=None&client_id=141390336194449&scope=public_profile%2Cemail%2Cuser_birthday%2Cuser_hometown%2Cuser_location&return_scopes=true,5,public profile, birthday, hometown, current city, email address,,,,current city,87,,,,
57,https://stackoverflow.com/users/login?ssrc=site_switcher&returnurl=https%3a%2f%2fstackoverflow.com%2f,https://www.facebook.com/v2.0/dialog/oauth?client_id=145044622175352&scope=email&redirect_uri=https%3A%2F%2Fstackauth.com%2Fauth%2Foauth2%2Ffacebook&state=%7B%22sid%22%3A1%2C%22cdl%22%3Anull%2C%22st%22%3A%228498ea5014ea163e2f76dcd4a8ce36135963708ad2c5d847bd4d6dfd957014ed%22%2C%22ses%22%3A%225f8fee89caa04cc6bed3aa5a8e10f2ac%22%7D,3,name, profile picture, email address,,,,,,email address,953,,,,
61,http://imdb.com,https://www.facebook.com/dialog/oauth?response_type=code&openid.return_to=https%3A%2F%2Fwww.imdb.com%2Fap-signin-handler&redirect_uri=https%3A%2F%2Fwww.imdb.com%2Fap%2F3p_callback%3FidentityProvider%3DFACEBOOK%26relyingParty%3DIMDbPool%26request%3Dsignin%26openid.assoc_handle%3Dimdb_fb%26openid.mode%3Dcheckid_setup&state=4d9e03b0-e0cf-4dcc-8fd7-b6c6533ee141.6AUtrDg7TlTHjNzmmXF_8T11O_2c1udn93P0opF6DbI%3D&client_id=127059960673829&scope=email%2Cuser_gender%2Cuser_birthday,4,public profile, birthday, gender, email address,,,,,friends list,188,,,,
67,https://www.wikia.com/signin?redirect=http%3A%2F%2Fwww.wikia.com%2Ffandom,https://www.facebook.com/v2.2/dialog/oauth?app_id=112328095453510&channel_url=https%3A%2F%2Fstaticxx.facebook.com%2Fconnect%2Fxd_arbiter%2Fr%2F7LloFuHvA7I.js%3Fversion%3D43%23cb%3Df49d69676bddf6%26domain%3Dwww.wikia.com%26origin%3Dhttps%253A%252F%252Fwww.wikia.com%252Ff81c6bc94d1256%26relation%3Dopener&client_id=112328095453510&display=popup&domain=www.wikia.com&e2e=%7B%7D&fallback_redirect_uri=https%3A%2F%2Fwww.wikia.com%2Fsignin&locale=en_US&origin=1&redirect_uri=https%3A%2F%2Fstaticxx.facebook.com%2Fconnect%2Fxd_arbiter%2Fr%2F7LloFuHvA7I.js%3Fversion%3D43%23cb%3Df13cce7500e450c%26domain%3Dwww.wikia.com%26origin%3Dhttps%253A%252F%252Fwww.wikia.com%252Ff81c6bc94d1256%26relation%3Dopener%26frame%3Df11277a7c4db116&response_type=token%2Csigned_request&scope=email&sdk=joey&version=v2.2,2,public profile, email address,,,,,,,hometown,51,,,,
68,https://www.pinterest.com/login,https://www.facebook.com/v2.7/dialog/oauth?app_id=274266067164&auth_type=&channel_url=https%3A%2F%2Fstaticxx.facebook.com%2Fconnect%2Fxd_arbiter%2Fr%2F7LloFuHvA7I.js%3Fversion%3D43%23cb%3Df2943362210e1f6%26domain%3Dwww.pinterest.com%26origin%3Dhttps%253A%252F%252Fwww.pinterest.com%252Ff371599e261c2b4%26relation%3Dopener&client_id=274266067164&display=popup&domain=www.pinterest.com&e2e=%7B%7D&fallback_redirect_uri=https%3A%2F%2Fwww.pinterest.com%2Flogin%2F&locale=en_US&logger_id=1c8dc82d-6bff-397e-8b4e-761268937afc&origin=1&redirect_uri=https%3A%2F%2Fstaticxx.facebook.com%2Fconnect%2Fxd_arbiter%2Fr%2F7LloFuHvA7I.js%3Fversion%3D43%23cb%3Df1ab6d8ca56a858%26domain%3Dwww.pinterest.com%26origin%3Dhttps%253A%252F%252Fwww.pinterest.com%252Ff371599e261c2b4%26relation%3Dopener%26frame%3Dff5e71bb0c8116&ref=LoginButton&response_type=none%2Ctoken%2Csigned_request&scope=public_profile%2Cemail%2Cuser_likes%2Cuser_birthday%2Cuser_friends&sdk=joey&version=v2.7,5,public profile, friends list, birthday, Page likes, email address,,,,page likes,36,,,,
79,http://www.nicovideo.jp/login,https://www.facebook.com/dialog/oauth?client_id=378853695459932&redirect_uri=https%3A%2F%2Faccount.nicovideo.jp%2Flogin%2Flinkages%2Ffacebook%2Fcallback&scope=email%2Cpublic_profile%2Cuser_birthday&state=zFNFp5jlF1yervEu,3,public profile, birthday, email address,,,,,,phone number,6,,,,
